Item #,Product/Trade Name,Manufacturer,Mfr Emergency Phone,Primary CAS #,Additional CAS #s,Chemical Name(s),Physical State,Container Size,GHS Pictogram Codes,Signal Word,GHS Hazard Category,NFPA Health,NFPA Fire,NFPA Reactivity,NFPA Special,Flash Point (°F),pH,Cal/OSHA PEL,ACGIH TLV,IDLH,EPCRA 302 EHS,TPQ (lbs),EPCRA 311/312 Threshold,CERCLA RQ (lbs),EPCRA 313 TRI,Prop 65 Listed,RCRA Waste Codes,CA Haz Waste,Storage Compatibility,Incompatible Materials,Secondary Containment,PPE Required,SDS Link,SDS Rev Date,RoHS Compliant,REACH SVHC,Notes/Flags
1,844AR Acrylic ESD Coating,MG Chemicals,1-800-424-9300,MIXTURE,"67-64-1, 108-65-6","Acetone, Propylene glycol methyl ether acetate, Acrylic polymer",Liquid/Aerosol,340g/12oz,"GHS02, GHS07",Danger,"Flam. Liq. 2, Eye Irrit. 2, STOT SE 3",2,3,0,,-4,,750 ppm (acetone),500 ppm (acetone),2500 ppm,No,,"10,000",,No,No,,No,Flammable,Strong oxidizers,Yes,"Safety glasses, gloves, ventilation",,,Yes,No,ESD-safe conformal coating for PCBs
2,Turbo-Coat Acrylic Conformal Coating 2108-12S,Techspray,1-703-527-3887,MIXTURE,"811-97-2, 64742-49-0, 67-64-1","1,1,1,2-Tetrafluoroethane, Naphtha, Acetone, Acrylic copolymer",Liquid/Aerosol,12 oz,"GHS02, GHS07, GHS08",Danger,"Flam. Aerosol 1, Eye Irrit. 2, STOT SE 3",2,4,0,,-4,,1000 ppm (naphtha),400 ppm,,No,,"10,000",,No,No,,No,Flammable,"Strong oxidizers, open flames",Yes,"Safety glasses, gloves, LEV",,,Yes,No,"HAPs-free, RoHS compliant"
3,SF 712 Accelerator,Loctite/Henkel,1-800-255-3924,MIXTURE,"67-64-1, 78-93-3","Acetone, Methyl ethyl ketone",Liquid/Aerosol,aerosol,"GHS02, GHS07",Danger,"Flam. Liq. 2, Eye Irrit. 2",1,3,0,,-4,,750 ppm (acetone),500 ppm,2500 ppm,No,,"10,000",,No,No,,No,Flammable,Strong oxidizers,Yes,"Safety glasses, gloves",,,Yes,No,Accelerator for cyanoacrylate adhesives
4,419D Acrylic Conformal Coating,MG Chemicals,1-800-424-9300,MIXTURE,"64742-49-0, 67-64-1","Naphtha, Acetone, Acrylic resin",Liquid,bottle,"GHS02, GHS07",Danger,"Flam. Liq. 2, Eye Irrit. 2",2,3,0,,40,,400 ppm,400 ppm,,No,,"10,000",,No,No,,No,Flammable,Strong oxidizers,Yes,"Safety glasses, gloves, ventilation",,,Yes,No,Brush/dip application conformal coating
5,495 Instant Adhesive,Loctite/Henkel,1-800-255-3924,MIXTURE,7085-85-0,Ethyl cyanoacrylate,Liquid,1 oz,GHS07,Warning,"Eye Irrit. 2, Skin Irrit. 2, STOT SE 3",2,1,0,,>200,,0.2 ppm,0.2 ppm,,No,,"10,000",,No,No,,No,General,"Strong bases, water (cures)",No,"Safety glasses, gloves",,,Yes,No,General purpose instant adhesive
6,L260Dp Grease,DeoxIT/CAIG Labs,1-800-424-9300,MIXTURE,"8042-47-5, 64742-65-0","White mineral oil, Distillates petroleum",Semi-solid,tube,GHS07,Warning,Skin Sens. 1,1,1,0,,>300,,5 mg/m³ (oil mist),5 mg/m³,,No,,"10,000",,No,No,,No,General,Strong oxidizers,No,Gloves,,,Yes,No,Electrical/mechanical contact lubricant
7,202 VIZ-TORQUE Tamper Detection Marker,Vibra-TITE/ND Industries,1-800-424-9300,MIXTURE,"67-64-1, 123-86-4","Acetone, Butyl acetate",Liquid,bottle,"GHS02, GHS07",Danger,"Flam. Liq. 2, Eye Irrit. 2",1,3,0,,-4,,750 ppm (acetone),500 ppm,2500 ppm,No,,"10,000",,No,No,,No,Flammable,Strong oxidizers,Yes,"Safety glasses, gloves",,,Yes,No,Tamper-evident torque marking paint
8,242 Threadlocker Blue (Medium Strength),Loctite/Henkel,1-800-255-3924,MIXTURE,PROPRIETARY,"Dimethacrylate ester, Polyglycol dimethacrylate, Cumene hydroperoxide",Liquid,50mL,GHS07,Warning,"Eye Irrit. 2, Skin Sens. 1",2,1,0,,>200,,,,,No,,"10,000",,No,No,,No,General,"Strong oxidizers, copper, brass accelerate cure",No,"Safety glasses, gloves",,,Yes,No,Medium strength removable threadlocker
9,Solder Wire Sn60Pb40 (LEADED),Kester,1-800-424-9300,7439-92-1,7440-31-5,"Lead (40%), Tin (60%)",Solid,1 lb spool,,,"Repr. 1A, STOT RE 2, Aquatic Chronic 4",3,1,0,,N/A,,0.05 mg/m³,0.05 mg/m³,100 mg/m³,No,,"10,000",1,No,CARCINOGEN + REPRO,D008 (lead),Yes,Metals/General,Strong acids (generate hydrogen),No,"Ventilation, gloves, wash hands, no eating/drinking",,,NO - Contains Lead,SVHC (Lead),⚠️ CRITICAL: Contains 40% LEAD - Prop 65 carcinogen & reproductive toxicant. RoHS NON-COMPLIANT. Cal/OSHA lead program may apply.
10,WSW SAC M1 Solder Wire (Lead-Free),Weller,1-800-424-9300,MIXTURE,"7440-31-5, 7440-22-4, 7440-50-8","Tin, Silver, Copper (SAC alloy)",Solid,250g spool,,,Not classified,1,1,0,,N/A,,2 mg/m³ (Sn),2 mg/m³,,No,,"10,000",,No,No,,No,Metals/General,Strong acids,No,"Ventilation, safety glasses",,,Yes,No,RoHS compliant SAC305/SAC387 alloy
